Pais,Country_Name,Region,Income_Group,Ano,ENTR,TUTT,EMPE,PROD,TAMANHO_MEDIO,Flag_TUTT_Zero_Suspeito,Flag_TUTT_Ausente_Ou_Imputado,Flag_Outlier_Prod,Internet_Usage_Pct,GDP_Per_Capita_PPP,Broadband_Subscriptions,GDP_USD,Secure_Servers
EST,Estonia,Europe & Central Asia,High income,2015,3361.0,818.5,10948.0,0.0747625137011326,3.2573638797976794,0,0,0,88.4097035040431,29712.6299473728,29.6882797190881,23311847750.9394,3120.70712714772
EST,Estonia,Europe & Central Asia,High income,2016,3584.0,933.100006103515,11500.0,0.081139130965523,3.208705357142857,0,0,0,87.2402327514547,31947.7769107437,31.4989029896287,24561027787.7896,10786.6756853297
EST,Estonia,Europe & Central Asia,High income,2017,4206.0,206.5,2499.0,0.0826330532212885,0.594151212553495,0,0,0,88.1024568740199,34506.6486942506,32.5220031500844,27469461919.1189,29131.217625233
EST,Estonia,Europe & Central Asia,High income,2018,4610.0,1456.200027465818,14984.0,0.0971836644064213,3.2503253796095444,0,0,0,89.3570077747426,37120.9879761677,33.3725174267095,31222632740.7247,48893.4376316683
EST,Estonia,Europe & Central Asia,High income,2019,5244.0,1836.499969482424,17142.0,0.1071345216125553,3.2688787185354693,0,0,0,90.2289281997919,40586.3784378888,33.8508104327483,31873748770.0313,83313.1107289332
EST,Estonia,Europe & Central Asia,High income,2020,5836.0,2106.000030517576,19576.0,0.1075807126337135,3.3543522960932144,0,0,0,89.05828666,40672.1340402132,34.2700326171401,31820771493.8974,84354.3769866162
EST,Estonia,Europe & Central Asia,High income,2021,8433.0,2890.990020751958,21622.0,0.1337059486056774,2.5639748606664297,0,0,0,90.97970174,44251.5374983455,37.357189680638,37201101170.5847,96297.9325765704
EST,Estonia,Europe & Central Asia,High income,2022,10126.0,4323.519958496094,25018.0,0.1728163705530455,2.4706695634999014,0,0,0,91.52016546,48217.5523106028,39.7219150412824,38226641740.29,104101.301859375
FIN,Finland,Europe & Central Asia,High income,2010,5757.0,6382.900207519531,45609.0,0.1399482603766697,7.92235539343408,0,0,0,86.89,38946.228265358,29.0751116373162,249429613683.334,1017.4607223244
FIN,Finland,Europe & Central Asia,High income,2011,5989.0,6071.10009765625,43182.0,0.1405933050265446,7.210218734346301,0,0,0,88.70999491353,40845.9566729849,29.8056452931485,275126915515.565,1581.02634759344
FIN,Finland,Europe & Central Asia,High income,2012,6167.0,6656.5,45888.0,0.145059710599721,7.440895086752067,0,0,0,89.879997974222,40739.1131809421,30.4323757921866,257443384492.969,2205.22053036487
FIN,Finland,Europe & Central Asia,High income,2013,6424.0,7986.2001953125,48958.0,0.1631234975961538,7.621108343711083,1,1,0,91.5144,41325.8052072321,31.6268291557372,270268036626.275,2525.47724091979
FIN,Finland,Europe & Central Asia,High income,2014,6547.0,9315.900390625,52028.0,0.1790555160802837,7.9468458836108145,0,0,0,86.5303927529377,41547.0984485393,32.1970293411336,273478528954.901,3008.87373313471
FIN,Finland,Europe & Central Asia,High income,2015,6886.0,10394.80041503906,53229.0,0.195284533149957,7.730031948881789,0,0,0,86.4221333325445,42257.8593791297,31.5690938053918,233210733506.25,3395.18108392853
FIN,Finland,Europe & Central Asia,High income,2016,6995.0,11093.400390625,56597.0,0.1960068623889075,8.09106504646176,0,0,0,87.7036499599455,44562.4011072067,31.152937083259,238777818792.608,7131.36291119889
FIN,Finland,Europe & Central Asia,High income,2017,7359.0,12206.79956054688,61804.0,0.1975082447826496,8.39842369887213,0,0,0,87.4689290730615,47234.8528600939,31.0435197469463,253846138440.0,22324.1144951885
FIN,Finland,Europe & Central Asia,High income,2018,7513.0,11073.80004882813,63538.0,0.1742862546637938,8.457074404365766,0,0,0,88.8899599985585,49248.6775395866,31.491717515124,273869255596.078,33999.120663944
FIN,Finland,Europe & Central Asia,High income,2019,7921.0,11839.69982910156,66416.0,0.1782657767571302,8.384799899002651,0,0,0,89.6073851129779,52276.1115723992,32.5439773811208,267014821129.411,57692.6350775481
FIN,Finland,Europe & Central Asia,High income,2020,8381.0,12532.09985351563,69083.0,0.1814064220360382,8.24281112039136,0,0,0,92.17027106,53296.5792798852,33.3838974597133,270000311606.226,81650.5089118576
FIN,Finland,Europe & Central Asia,High income,2021,14616.0,13016.11962890625,66497.0,0.1957399526129938,4.549603174603175,0,0,0,92.80806082,56790.3766177692,33.6396818306917,294223210496.119,104960.876315666
FIN,Finland,Europe & Central Asia,High income,2022,15168.0,13700.53002929688,70284.0,0.194930994668728,4.63370253164557,0,0,0,92.98879471,62133.1375219912,34.2951599474189,280253099309.34,131286.012181913
FRA,France,Europe & Central Asia,High income,2010,70184.0,55898.6005859375,350028.0,0.1596975115874658,4.987290550552832,0,0,0,77.28,35907.5531031574,33.64535986777,2646230027988.34,278.057105310965
FRA,France,Europe & Central Asia,High income,2011,70682.0,59895.2001953125,363378.0,0.164828911478715,5.14102600379163,0,0,0,77.8199989926706,37510.3759898714,35.6937891818337,2870408553990.28,401.418225021017
FRA,France,Europe & Central Asia,High income,2012,83962.0,61096.798828125,369300.0,0.1654394769242485,4.398418332102618,0,0,0,81.44,37671.0239268565,37.4345529509644,2683007095787.23,622.48640329988
FRA,France,Europe & Central Asia,High income,2013,90869.0,61894.001953125,372289.0,0.1662525671000889,4.096985770724889,0,0,0,81.9198,39583.3520435045,38.7340855946258,2816077607875.26,821.359069250837
FRA,France,Europe & Central Asia,High income,2014,101549.0,62645.8984375,389841.0,0.1606960233466977,3.8389447458862223,0,0,0,83.7510996681821,40218.1258637776,40.142215573606,2861236112552.42,1188.96912080874
FRA,France,Europe & Central Asia,High income,2015,84477.0,65598.900390625,411620.0,0.1593676215699553,4.872568864898138,0,0,0,78.0060377071902,40905.1767750994,41.387117104083,2442483452642.5,1898.47153356589
FRA,France,Europe & Central Asia,High income,2016,85151.0,69034.7998046875,415144.0,0.1662912141442186,4.875386078848164,0,0,0,79.2698113207547,42880.2351355431,42.5277884451476,2470407619777.13,6688.01787132278
FRA,France,Europe & Central Asia,High income,2017,84467.0,81914.10009765625,454625.0,0.1801794888043029,5.382279470088911,0,0,0,80.5024597243607,44469.1458856805,43.6242593525939,2588868323334.71,14819.4761291503
FRA,France,Europe & Central Asia,High income,2018,89779.0,75901.8984375,423294.0,0.1793124836106819,4.714844228605799,0,0,0,82.0431867788484,46381.0590629457,44.4142292018123,2781576320884.39,20362.9338827691
FRA,France,Europe & Central Asia,High income,2019,97097.0,83370.603515625,444875.0,0.1874023119204833,4.581758447737829,0,0,0,83.3397440866883,51130.4723140578,45.2765022757908,2722793515171.76,29255.7243091748
FRA,France,Europe & Central Asia,High income,2020,100842.0,85680.001953125,482232.0,0.1776738208022798,4.7820550960909145,0,0,0,84.70639801,49481.8044309655,46.471240838575,2647926055110.05,36107.8390576723
