Pais,Ano,ENTR,TUTT,EMPE,Flag_Outlier_Prod,PROD,TAMANHO_MEDIO
AUT,2010,-0.4233931883925983,-0.32622344118894037,-0.438058706499862,0,-0.3193798247621995,-0.6315158060790041
AUT,2011,-0.4126221974177511,-0.3224771196661216,-0.41598356552966304,0,-0.3177469244550189,-0.5172978117063819
AUT,2012,-0.4035608875500224,-0.3207848141621212,-0.401057254233533,0,-0.3175246915767853,-0.4528309917809272
AUT,2013,-0.39449957768229377,-0.31865997876949975,-0.38995848754110685,0,-0.31665194919003714,-0.4187004746612814
AUT,2014,-0.38387106013303973,-0.31648210065712723,-0.3723395431226038,0,-0.31633806567350464,-0.3485639986275015
AUT,2015,-0.37956836268012456,-0.3160729903237087,-0.3684953086441745,0,-0.31632565002993157,-0.3438703127768364
AUT,2016,-0.379055458347989,-0.3137898733447728,-0.3490349147142965,0,-0.3161129356525528,-0.21250781343776048
AUT,2017,-0.35386615670310806,-0.31142972993853435,-0.32729913453018167,0,-0.31603337753940974,-0.1995085188860715
AUT,2018,-0.3513871190977861,-0.30823782207610056,-0.31706267803190397,0,-0.31462170211160084,-0.1460887328537372
AUT,2019,-0.3190456514881257,-0.303239903424885,-0.3067872784926001,0,-0.31213024881291773,-0.24109502037980887
AUT,2020,-0.300951526437787,-0.30347013544502316,-0.29221145456570463,0,-0.31335690480232,-0.23771050203265026
AUT,2021,-0.13864580000199342,-0.3004980210621958,-0.2599109836803782,0,-0.31377992045483727,-0.6431448120527072
AUT,2022,-0.12813126119321394,-0.2967199003586255,-0.2309095446991163,0,-0.31351601761766734,-0.5475851494324587
BEL,2010,-0.2651906966138894,-0.3109083267676988,-0.3934021650261253,0,-0.30981168872998477,-0.9322688728157541
BEL,2011,-0.21244703445928018,-0.310273780742354,-0.4058695014460386,0,-0.30781574347632845,-1.1298304597694113
BEL,2012,-0.19267172298694157,-0.3080298806176364,-0.3852797593264049,0,-0.30831716559671385,-1.0752964887655991
BEL,2013,-0.127247925954536,-0.30798953373664345,-0.382002980588641,0,-0.3086473218495904,-1.1947379122552872
BEL,2014,-0.13679364546928158,-0.30535712034988854,-0.37972203104282914,0,-0.30677668616805664,-1.1668588154455835
BEL,2015,-0.11459628576185826,-0.30476913135877437,-0.379054436053811,0,-0.30638124625311086,-1.2054721240620845
BEL,2016,-0.07045801851307941,-0.3014505399522112,-0.3608012763957407,0,-0.30587061762913587,-1.208658475071018
BEL,2017,-0.010932621300233059,-0.29666705395562587,-0.34032280010761007,0,-0.304613356756502,-1.227400780644599
BEL,2018,0.03163843826702039,-0.2921098467797521,-0.29979422098263536,0,-0.30563423210225577,-1.150074884600806
