Pais,Country_Name,Region,Income_Group,Ano,ENTR,TUTT,EMPE,PROD,TAMANHO_MEDIO,Flag_TUTT_Zero_Suspeito,Flag_TUTT_Ausente_Ou_Imputado,Flag_Outlier_Prod,Internet_Usage_Pct,GDP_Per_Capita_PPP,Broadband_Subscriptions,GDP_USD,Secure_Servers,ENTR_model,TUTT_model,EMPE_model,PROD_model,TAMANHO_MEDIO_model,GDP_Per_Capita_PPP_model,Broadband_Subscriptions_model,GDP_USD_model,Secure_Servers_model,Internet_Usage_Pct_model
AUT,Austria,Europe & Central Asia,High income,2010,12849.0,7355.60009765625,41793.0,0.1760007680151281,3.252626663553584,0,0,0,75.17,41735.4574798744,24.5113861270145,389827789217.634,690.149608939135,0.0518911841486221,-0.25793759786755993,-0.10663005821233472,-0.04035471574558342,-0.36425660078940447,0.19056990958051095,-0.39217730405874796,0.21620298415179048,-0.4577768338430115,-0.2827668172447226
AUT,Austria,Europe & Central Asia,High income,2011,13227.0,8683.39990234375,45761.0,0.1897554664964434,3.459665835034399,0,0,0,78.7399930986888,44171.5618687028,24.9926429150975,428954737064.057,1068.4439268925,0.06618804330769004,-0.21243171757630364,-0.06230850592651859,-0.01836475192690514,-0.27654710453750075,0.2839476620463435,-0.3491077150721572,0.2565710227387505,-0.3321344224176145,-0.09867297688194808
AUT,Austria,Europe & Central Asia,High income,2012,13545.0,9283.19970703125,48444.0,0.1916274400757834,3.5765227021040973,0,0,0,80.0299939169903,46156.4832073037,25.2644782408466,406750487603.59,1613.40623020831,0.07790263039695687,-0.19411595615163804,-0.034467393871447385,-0.015391654697372787,-0.22882298362238002,0.35629970965093566,-0.32513116169387907,0.23413816817331848,-0.21360375634032006,-0.03215150242882678
AUT,Austria,Europe & Central Asia,High income,2013,13863.0,10036.30004882813,50439.0,0.1989789656580846,3.638389958883359,0,0,0,80.6188,47519.8522796571,26.3222866586035,426580502769.417,1857.46801554702,0.08934537677291542,-0.17272631030887126,-0.01474756983299123,-0.0037608623294786343,-0.20404756895092158,0.4042150718037249,-0.23413390008394194,0.2542284875695536,-0.17308355057357316,-0.0017885381166470953
AUT,Austria,Europe & Central Asia,High income,2014,14236.0,10808.2001953125,53606.0,0.2016229562980356,3.765524023602136,0,0,0,80.9958249574764,48355.4977624407,27.597689562142,438556021078.034,2345.32706103046,0.10243735474912835,-0.1524075094474927,0.015009097926402678,0.00040474644363254405,-0.15415630395444468,0.4329087935238168,-0.12899143171689134,0.2659137036226702,-0.10599410811071994,0.017653508524825726
AUT,Austria,Europe & Central Asia,High income,2015,14387.0,10953.2001953125,54297.0,0.201727539188399,3.7740321123236256,0,0,0,83.9401419315026,49549.3162311441,28.4068593397138,379546097300.633,3081.90763093797,0.1076400475339227,-0.14875308335505552,0.021267652367698703,0.0005693283426531738,-0.15086514598939918,0.47305243236007327,-0.06468888146395593,0.20492186116016622,-0.0274140907919994,0.16948310707303152
AUT,Austria,Europe & Central Asia,High income,2016,14405.0,11762.39990234375,57795.0,0.2035193338929622,4.012148559527942,0,0,0,84.3237425711653,52397.8635176674,28.8775983744406,393687359770.273,4449.98024418463,0.10825659038004737,-0.12920750394903058,0.05177539618040337,0.0033868496573659277,-0.0610588749631822,0.5650597965052971,-0.02808973885175036,0.22036107939863428,0.07828654548752101,0.1892642419293036
AUT,Austria,Europe & Central Asia,High income,2017,15289.0,12598.89990234375,61702.0,0.2041894898438259,4.035711949767807,0,0,0,87.9355865856062,53869.8321183556,28.5425998928488,414926138132.691,7431.71463561626,0.13762465621547113,-0.11036788622735398,0.0837397241454839,0.004439563818422392,-0.05240501735517231,0.6106620939069256,-0.05407551940321962,0.24253731267355275,0.22586886126130054,0.3755162085378499
AUT,Austria,Europe & Central Asia,High income,2018,15376.0,13730.2001953125,63542.0,0.2160807056012165,4.132544224765869,0,0,0,87.4791372262556,56636.4953030542,28.5150396136468,452582294972.775,16705.0109377038,0.14042261830670993,-0.08678766672348469,0.09809848045835423,0.023022076627198632,-0.01726260620609945,0.6930990379630424,-0.056226467758986085,0.2792008708130916,0.45896427086973884,0.35197848362604467
AUT,Austria,Europe & Central Asia,High income,2019,16511.0,15501.6005859375,65389.0,0.2370674056177262,3.960329477318152,0,0,0,87.7522047870069,60354.9279422121,28.3631930003301,442983642371.842,26298.32250741,0.17554072970977444,-0.05351134342174024,0.11209964428421319,0.05537917133252849,-0.08023387208121627,0.7977672025486632,-0.06811350795234579,0.27015336915087823,0.5895677035163838,0.36605975900880816
AUT,Austria,Europe & Central Asia,High income,2020,17146.0,15420.0,68009.0,0.2267346968783543,3.9664644815117223,0,0,0,87.52942813,58523.0337816246,29.2106456326106,434397601557.696,33802.6911703487,0.1941494603500628,-0.05495870065784658,0.13129662513083273,0.03951748154237783,-0.07795326387959857,0.7470335725337638,-0.0025425439882058257,0.2618926510771098,0.6618171546848515,0.35457183474737347
AUT,Austria,Europe & Central Asia,High income,2021,22842.0,16473.3994140625,73815.0,0.2231714341808914,3.2315471499868664,0,0,0,92.52915104,62968.9422311892,29.2537339731419,480466363176.806,39775.2427840872,0.33559016090334104,-0.03683718524384636,0.17132754602864228,0.03401653730064963,-0.3734250670588002,0.8675564727407953,0.0007420573379808158,0.30443454657674324,0.7086447097855998,0.6123925547901382
AUT,Austria,Europe & Central Asia,High income,2022,23211.0,17812.4697265625,79028.0,0.2253944137085906,3.4047649821205463,0,0,0,93.61409139,72065.4974270106,29.2342573265435,473221298968.216,39544.447259748,0.343492425629334,-0.01540554882138101,0.20467299664427133,0.03745023719037375,-0.2994019642536375,1.0896592740648483,-0.0007420573379808158,0.2980218046359831,0.7069698399312072,0.6683396757157753
BEL,Belgium,Europe & Central Asia,High income,2010,18401.0,12783.699584960938,49820.0,0.2565977435760926,2.707461551002663,0,0,0,77.6397855126946,39839.9772772918,30.842629161864,481556503720.001,401.814092422381,0.22898235457807944,-0.10637478716413246,-0.020781437130892134,0.0850014895264486,-0.6173817816102143,0.1140636060424712,0.11870519506275433,0.3053910722179351,-0.6131630878453722,-0.1554073833927953
BEL,Belgium,Europe & Central Asia,High income,2011,20252.0,13008.600219726562,47579.0,0.2734105428808205,2.34934821252222,0,0,0,81.6099959955952,41244.8495035213,32.1032472233196,527196649048.639,597.920107727085,0.27624583689469207,-0.10159234804495185,-0.043271295037159305,0.11013557097281529,-0.804807888382138,0.1711062725347317,0.20818168052773908,0.3436082003808216,-0.49900012345658235,0.04932446752147154
